Id;SharkSpeciesId;AttackedPersonId;CountryId;DateTime;Type;Area;Location;Activity;Injury;AttackSeverenity;Investigator

1;5;1;;1974/08/16 0:00:00;Unprovoked;Mirs Bay;;Freedom swimming;Left foot bitten;NonFatal;A. MacCormick, p.157

2;15;2;;1974/05/26 11:30:00;Unprovoked;California;Tomales Point, Marin County;Free diving (but on surface);Leg bitten;NonFatal;"D. Miller & R. Collier, R. Collier, p.53; J. McCosker & R.N. Lea"

3;8;3;;1974/03/21 16:30:00;Unprovoked;KwaZulu-Natal;Amanzimtoti;Surfing;No injury, surfboard bitten;NonFatal;"J. Gurr, M. Levine, GSAF; G. Charter, NSB; T. Wallett, p.20"

4;5;4;145;1974/01/07 0:00:00;Unprovoked;Gaza;Xai Xai;Swimming;FATAL;Fatal;P. Logan, GSAF

5;6;5;171;1973/12/18 0:00:00;Unprovoked;Luzon;;Swimming;FATAL;Fatal;Washington Post, 12/19/1973

6;17;6;17;1973/11/03 0:00:00;Unprovoked;Queensland;Gin Arm Creek;;Knee lacerated;NonFatal;R. McKenzie, Sunday Mail, 9/6/1987, p.11

7;7;7;;1973/09/29 0:00:00;Unprovoked;KwaZulu-Natal;Mission Rocks;Being pulled to shore from wreck of 25-ton fishing vessel Alan S;FATAL, thigh bitten;Fatal;Natal Mercury, 10/5/1973

8;1;8;138;1973/09/09 16:45:00;Unprovoked;Baja California;Guadalupe Island;Free diving, Spearfishing;FATAL, leg bitten;Fatal;"Washington Post, 9/12/1973; J. McCosker & R.N. Lea"

9;19;9;166;1973/01/01 0:00:00;Unprovoked;Western Caroline Islands;;Scuba diving & U/W photography;Hand & right shoulder lacerated;NonFatal;National Geographic, January 1995, p.56-57

10;11;10;17;1972/12/08 0:00:00;Provoked;New South Wales;Marineland, Sydney;;PROVOKED INCIDENT;NonFatal;J. Green, p.36

11;18;11;;1972/05/28 13:30:00;Unprovoked;California;Bird Rock, near Tomales Point, Marin County;Free diving for abalone;Bitten on legs & buttock;NonFatal;"D. Miller & R. Collier, R. Collier, pp.48-50; Evening Tribune (San Diego) 7/17/1972; H.D. Baldridge, p.78; J. McCosker & R.N. Lea"

12;9;12;;1972/05/06 0:00:00;Unprovoked;Tuamotus;Ahé Atoll;Spearfishing;Thigh bitten;NonFatal;M. Fouques, et.al, pp. 318-319

13;4;13;17;1972/02/20 11:00:00;Unprovoked;Victoria;Wilson's Promontory, Waratah Bay;Surfing;Laceration above knee;NonFatal;Sydney Morning Herald, 2/21/1972

14;17;14;;1972/01/01 0:00:00;Unprovoked;Eastern Cape Province;St. George’s Strand;Swimming;"FATAL, coroner's Verdict: ""Death presumably through shark attack & drowning""";Fatal;M. Levine, GSAF

15;1;15;145;1971/01/01 16:20:00;Unprovoked;Gaza;Xai Xai;Standing;Leg severed at knee,  hand severed, arms, torso & buttock severely lacerated;NonFatal;"J. Bass; M. Levine, GSAF"

16;9;16;;1971/11/25 0:00:00;Unprovoked;Mirs Bay;;Freedom Swimming;Left leg severely bitten, surgically amputated;NonFatal;"The Advocate, 11/25/1971; Post Crescent, 11/28/1971"

17;1;17;17;1971/10/27 0:00:00;Provoked;New South Wales;Marineland, Sydney;;PROVOKED INCIDENT;NonFatal;J. Green, p.36

18;17;18;;1971/10/14 0:00:00;Unprovoked;KwaZulu-Natal;North Beach, Durban;Swimming;Wrist & hand lacerated;NonFatal;J. Bass

19;16;19;112;1971/09/07 10:30:00;Unprovoked;Istria County;Ika;Swimming;FATAL;Fatal;R. Rocconi & C. Moore, GSAF

20;1;20;17;1971/08/21 13:15:00;Provoked;New South Wales;Manly Marineland, Sydney;Scuba diving & feeding fish;Eight puncture wounds to right leg by captive shark PROVOKED INCIDENT;NonFatal;Sydney Morning Herald, 8/22/1971

21;10;21;238;1971/04/05 0:00:00;Unprovoked;;;;FATAL, body not recovered;Fatal;H.D. Baldridge (1994) SAF Case #1646

22;3;22;238;1971/04/05 0:00:00;Unprovoked;;;;FATAL, body not recovered;Fatal;H.D. Baldridge (1994) SAF Case #1646

23;3;23;145;2001/01/01 0:00:00;Unprovoked;Between Beira & Maputo;;Wreck of the 1689-ton Portuguese  coaster Angoche;FATAL, it was  thought  the surviving crew  were taken by sharks;Fatal;M. Levine, GSAF

24;5;24;;1970/11/01 0:00:00;Unprovoked;;;;Extensive injuries;NonFatal;H.D. Baldridge (1994), SAF Case #1645

25;11;25;67;1970/06/13 14:00:00;Unprovoked;St. Andrew Parish;Grenville;Wading;FATAL, body not recovered;Fatal;E. Pace, FSAF

26;1;26;;2001/01/01 0:00:00;Unprovoked;Western Province;Colombo Harbor;Spearfishing / freediving;Swim fins badly torn by the shark's teeth;NonFatal;R. I. DeSilva

27;2;27;84;2001/01/01 0:00:00;Unprovoked;Basrah;Shatt-al-Arab River;Fishing, trying to catch the end of his fishing line;Left hand bitten;NonFatal;B.W. Coad & L.A.J. Al-Hassan

28;1;28;;1969/08/29 0:00:00;Unprovoked;Florida;North Beach, St. Lucie County;Floating on his back;Laceration to right leg;NonFatal;News Tribune, 8/30/1969

29;4;29;;1969/08/02 16:30:00;Unprovoked;Florida;St. Petersburg, Pinnellas County;Body surfing;Lacerations to right lower leg & left arm and hand;NonFatal;NYTimes, 8/3/1969

30;11;30;;1969/05/24 11:00:00;Provoked;Florida;Sarasota County;Diving;Laceration to buttocks Recorded as PROVOKED INCIDENT;NonFatal;H.D.Baldridge (1994) SAF Case #1596

31;13;31;17;1969/04/22 0:00:00;Unknown;New South Wales;Kingscliffe Beach, south of Tweed Heads;Netting pilchards;No injury;NonFatal;J. Green, p.36

32;9;32;17;1969/03/25 0:00:00;Provoked;New South Wales;Newcastle;;Foot lacerated. Recorded as PROVOKED INCIDENT;NonFatal;H.D.Baldridge (1994) SAF Case #1612

33;9;33;;1968/12/25 17:45:00;Unprovoked;South Island;St. Clair Beach, Dunedin;Surfing;Hit in face by shark, arm abraded, surfboard bitten;NonFatal;"R. D. Weeks, GSAF; Otago Daily Times, 12/26/1968"

34;13;34;17;1968/12/09 0:00:00;Unprovoked;South Australia;Thistle Island;;Survived;NonFatal;T. Peake, GSAF

35;16;35;17;1968/11/02 15:00:00;Provoked;Western Australia;;;Abrasion on shoulder Recorded as PROVOKED INCIDENT;NonFatal;H.D. Baldridge (1994) SAF Case #1533

36;9;36;;1968/09/15 10:15:00;Unprovoked;South Island;Otago Harbor;Spearfishing;FATAL, left leg bitten, femoral artery severed;Fatal;"R.D. Weeks, GSAF; Otago Daily Times, 9/16/1968; H.D. Baldridge, pp.18-19"

37;6;37;18;1968/07/10 0:00:00;Unprovoked;Great Exuma Island;Children's Bay Cay near Rollerville;Small boat with 2 men onboard hit a submerged coral formation. Men began swimming to shore;FATAL, taken by shark;Fatal;Reported by F.S.T. Baker to M. Vorenberg, pp.154-155

38;7;38;138;1968/07/01 0:00:00;Unknown;Baja California;;;No injury;NonFatal;H.D.Baldridge, SAF Case #1613

39;11;39;;1968/06/09 9:30:00;Unprovoked;Florida;Mullet Key, Pinellas County;Clamming;Lacerations to lower right leg & andkle;NonFatal;Evening Indeipendent, 6/10/1968, p.3

40;1;;217;1968/05/18 0:00:00;Unknown;Mafia Island;;Schooner sank during a storm;6 people rescued, 3 shark-scavenged bodies recovered, 14 people lost;Fatal;R. Wharton

41;15;40;17;1968/04/07 0:00:00;Provoked;New South Wales;Stockton Bight;;Foot lacerated Recorded as PROVOKED INCIDENT;NonFatal;"J. Green, p.36; H. D. Baldridge (1994) SAF Case #1528"

42;13;41;;1968/01/17 17:30:00;Unprovoked;Morobe Province;Finschafen;Swimming;FATAL;Fatal;H.D. Baldridge (1994) SAF Cases #1519 & #1584

43;18;42;;1967/12/21 0:00:00;Unknown;Central Province;Port Moresby;Spearfishing;No injury;NonFatal;H.D. Baldridge (1994)

44;5;43;17;1967/11/30 0:00:00;Unprovoked;Queensland;Surfer's Paradise;;Arm lacerated;NonFatal;(1994) SAF Case #1524

45;16;44;;1967/11/01 0:00:00;Unknown;KwaZulu-Natal;Brighton Beach;;Bones and brightly colored bangles recovered  3.35 m, 145.5-kg tiger shark’s gut;Fatal;A. Heydorn, ORI

46;11;45;;1967/09/20 0:00:00;Unknown;Hawaii;Kailua Bay, O'ahu;Boat capsized between O'ahu & Molokai;Remains found in a 3.4 m (11') tiger shark. Probable drowning & scavenging;Fatal;"J. Borg, p.73; L. Taylor (1993), pp.102-103"

47;17;46;17;1967/08/19 11:00:00;Unprovoked;Western Australia;Jurien Bay;Spearfishing, dived to pick up a float line;"FATAL, ""bitten in two""";Fatal;"H. Edwards, pp.35-42; H.D. Baldridge, p.28; A. Sharpe, pp.132-133; A. MacCormick, p.86; J. West, ASAF"

48;1;47;26;1967/08/15 16:00:00;Unprovoked;Hamilton;Hamilton;Floating;Right foot abraded & lacerated;NonFatal;Gettysburg Times, 8/15/1967

49;9;48;17;1967/05/09 0:00:00;Provoked;;Aquarium;Feeding a shark;Recorded as PROVOKED INCIDENT;NonFatal;H.D.Baldridge (1994) SAF Case #1536

50;1;49;17;1967/03/12 15:00:00;Provoked;Victoria;Geelong;Spearfishing;Speared shark lacerated his arm PROVOKED INCIDENT;NonFatal;H.D. Baldridge, SAF Case #1466

51;17;50;;1967/01/22 0:00:00;Provoked;Western Cape Province;Whittle Rock False Bay;Spearfishing Competition;No injury, shark bit support boat, removing pieces of wood after Gerricke shot it  PROVOKED INCIDENT;NonFatal;H.D. Baldridge, p.128

52;9;51;145;1967/01/21 0:00:00;Unprovoked;Bay of Maputo;Xefina Island;Swimming in the channel;Right leg severely lacerated;NonFatal;M. Levine, GSAF

53;14;52;17;1966/09/13 0:00:00;Provoked;Western Australia;Albany;Spearfishing;Involved a speared shark but no other details PROVOKED INCIDENT;NonFatal;H.D.Baldridge, SAF Case #1425

54;3;53;17;1966/09/10 12:00:00;Unprovoked;Western Australia;Roe Reef off Rottnest Island;Spearfishing;No injury;NonFatal;"The West Australian (Perth), 9/14/1966; H.D.Baldridge, p.136"

55;16;54;;1966/09/08 0:00:00;Provoked;Florida;Florida Keys, Monroe County;Hunting crayfish;Abdomen abraded when he seized shark PROVOKED INCIDENT;NonFatal;San Antonio Express, 9/9/1966

56;9;55;;1966/08/27 0:00:00;Unknown;KwaZulu-Natal;Durban;Netting sharks;No attack, no injury to occupant: a 400-lb grey shark k bit nets in the water;NonFatal;ISAF Case #1439

57;11;56;18;1966/08/27 17:00:00;Unprovoked;Bimini Islands;;Snorkeling;Survived, no details;NonFatal;P. Gilbert & H.D. Baldridge, SAF Case #1433

58;17;57;;1966/08/23 0:00:00;Unprovoked;Duke of York Islands;Butliwan Village, 15 miles north of Rabaul;Swimming;FATAL;Fatal;"Age (Melbourne), Hudderfield Daily Examiner (Yorkshire), Evening Press (Dublin), 8/23/196;; Irish News (Belfast), 8/24/1966; A. MacCormick, p.161"

59;7;58;216;1966/07/17 0:00:00;Unprovoked;Northern Taiwan;Tamsui Beach;Swimming;FATAL, left leg severed;Fatal;South China Morning Post (Hong Kong), 7/19/1966

60;1;59;;1966/07/14 0:00:00;Unprovoked;Admiralty Islands, Manus Province;Manus Island;Swimming;FATAL;Fatal;H.D.Baldridge (1994) SAF Case #1415

61;20;60;;1966/06/22 16:00:00;Provoked;New Jersey;Reeds Bay, Brigantine, Atlantic County;Clamming;3 lacerations on  right leg by speared fish PROVOKED INCIDENT;NonFatal;Press clippings

62;3;61;17;1966/04/01 0:00:00;Unprovoked;New South Wales;Botany Bay, Sydney;Overturned skiff;Survived;NonFatal;SAF Case #1413

63;10;62;167;1965/11/03 7:32:00;Unknown;Caribbean Sea;Golfo de los Mosquitos;Argentine Air Force C-54;2 life preservers had been bitten by sharks;Fatal;"Tropic Survival School; RCC;  SAF Case #1394"

64;5;63;171;1965/08/30 0:00:00;Unknown;;Grounded off Scarborough Shoals, 150 miles northwest of Manila in the South China Sea;Arsinoe, a French tanker;One man was lost, but he may have drowned;Fatal;"Manila Daily Bulletin, 9/3/1965; SAF Case #1388"

65;1;64;18;1964/07/30 0:00:00;Provoked;Bimini Islands;Lerner Marine Lab;Attempting to anesthetize shark;Chest bitten PROVOKED INCIDENT;NonFatal;H.D. Baldridge, p. 93

66;1;65;;1965/06/01 0:00:00;Unprovoked;;;Treading water;FATAL, body not recovered;Fatal;H.D.Baldridge (1994) SAF Case #1510

67;5;66;;1965/04/10 11:00:00;Unprovoked;Florida;American Shoals off Key West;Spearfishing;Left hand severely lacerated;NonFatal;J. D. Morgan, M.D.

68;1;67;;1965/03/23 11:30:00;Unknown;Puerto Rico;60 miles offshore north of San Juan;Aircraft exploded;All 16 onboard perished, recovery efforts hampered by sharks;NonFatal;"Dr. S.D. Caller; SAF Case #1360"

69;14;68;;2001/01/01 0:00:00;Provoked;Florida;Between Palm  & Salerno Inlets, Martin County;Collecting marine specimens;No injury, shark tore his wetsuit after he grabbed it by the tail  PROVOKED INCIDENT;NonFatal;M. Vorenberg

70;11;69;;1964/12/10 0:00:00;Unprovoked;Bougainville (North Solomons);Buka Island;;Thigh severely lacerated;NonFatal;H.D.Baldridge (1994) SAF Case #1558

71;12;70;;1964/12/09 0:00:00;Unprovoked;Bougainville (North Solomons);Off Sing Village, Buka Island;Canoe swamped, swimming back to canoe;Survived;NonFatal;South Pacific Post (Port Moresby), 12/16/1964

72;9;71;17;1964/11/29 14:30:00;Unprovoked;Victoria;Lady Julia Percy Island;Free diving with seals;Left leg severed;NonFatal;"A. Sharpe, pp.115-116; H. Edwards, pp.67-71; J. Green, p.35; A. MacCormick, pp.88-91; J. West, ASAF"

73;19;72;17;1964/11/18 13:30:00;Unprovoked;Queensland;Fingal Beach, near Tweed Heads;Swimming out to rescue swimmers in difficulty;FATAL;Fatal;Daily Mirror (Sydney), 11/19/1964

74;13;73;;1964/10/31 0:00:00;Provoked;KwaZulu-Natal;Umkomaas;Surf fishing;Right leg bitten  while attempting to gaff hooked shark PROVOKED INCIDENT;NonFatal;M. Levine, GSAF

75;11;74;;1964/09/27 11:00:00;Unknown;;;Spearfishing;Disappeared, probable drowning but sharks in area led to speculation that he was taken by a shark;Unknown;C. Moore. GSAF

76;9;75;;1964/08/22 11:30:00;Unknown;Florida;5 miles south of Palm Beach;Spearfishing / free diving;3 m to 3.7 m [10' to 12']  great hammerhead shark shark only made a threat display. No injury;NonFatal;M. Vorenberg

77;16;76;167;1964/08/01 0:00:00;Unprovoked;San Blas;Off Achutuppu Island near Ailigandi;Free diving / Spearfishingat edge of reef;Foot lacerated;NonFatal;H. Loftin

78;7;77;;1964/07/27 11:00:00;Provoked;Puerto Rico;;;Arm lacerated by speared shark PROVOKED INCIDENT;NonFatal;H.D.Baldridge (1994) SAF Case #1547

79;2;78;26;1964/06/29 0:00:00;Unprovoked;Hamilton;2 miles south of Castle Island Harbour entrance to Hamilton;Conducting a promotional film project for the Gemini space program (a practice astronaut recovery);7 rescued, 7 bodies recovered, 10 missing. Many sharks in crash area.;Fatal;"Washington Post, 6/30/1964; SAF Case #1295"

80;1;79;;1964/06/24 0:00:00;Boating;California;Long Beach, Los Angeles County;Fishing;No injury to occupants, shark crashed through windshield of boat;NonFatal;Valley News (Gardena), 6/28/1964

81;5;80;56;1964/05/08 11:30:00;Unprovoked;Vita Levu;Naviti;Spearfishing;FATAL, buttocks, lower abdomen & genitalia removed;Fatal;"H.D. Baldridge, p.196; Clark, p.87"

82;13;81;56;1964/02/14 10:30:00;Unprovoked;Vanua Levu;Nailou Village, Tunuloa Natewa Bay;Spearfishing;FATAL, thigh and abdomen bitten;Fatal;"Fiji Times; L. Schultz"

83;5;82;;1964/02/10 18:30:00;Unprovoked;North Island;West of Pukerua Bay, Wellington;Spearfishing;No injury to diver, shark bit speargun;NonFatal;"R.D. Weeks, GSAF; Otago Daily Times, 2/11/1964, p1; Wellington Evening Post, 2/17/1960"

84;1;83;;1954/02/08 8:45:00;Unprovoked;Western Cape Province;Muizenberg;Body boarding;Right ankle lacerated;NonFatal;"D. Davies; M. Levine, GSAF"

85;6;84;;1964/02/01 12:00:00;Boating;South Island;Ngatuka Bay, near Picton;Rowing;No injury to occupants , shark nudged oars;NonFatal;"New Zealand Herald, 2/2/1964;  SAF Case #1335"
